Zeit (in s); x (in cm) ; y (in cm); vx (in cm/s) ; vy (in cm/s)
2,867E0; 3,169E0; -5,662E-2; -6,658E0; 1,538E-1
2,900E0; 2,934E0; -5,254E-2; -7,042E0; 1,226E-1
2,933E0; 2,669E0; -5,331E-2; -7,953E0; -2,323E-2
2,967E0; 2,398E0; -5,835E-2; -8,152E0; -1,511E-1
3,000E0; 2,083E0; -6,335E-2; -9,424E0; -1,501E-1
3,033E0; 1,651E0; -6,372E-2; -1,298E1; -1,103E-2
3,067E0; 1,100E0; -7,093E-2; -1,654E1; -2,163E-1
3,100E0; 4,414E-1; -6,875E-2; -1,975E1; 6,535E-2
3,133E0; -2,118E-1; -7,382E-2; -1,959E1; -1,522E-1
3,167E0; -8,022E-1; -7,211E-2; -1,771E1; 5,126E-2
3,200E0; -1,354E0; -6,637E-2; -1,654E1; 1,724E-1
3,233E0; -1,788E0; -6,196E-2; -1,302E1; 1,323E-1
3,267E0; -2,033E0; -7,112E-2; -7,375E0; -2,747E-1
3,300E0; -2,175E0; -7,333E-2; -4,233E0; -6,625E-2
